,fiscal_year,emissions,ticker,EBITDA,EBT,total_revenues,industry,company_name,out_shares,average_price,last_price
40,2016,1699778.4698503793,VIVT3,14543.999,5656.296,42508.459,Diversified Telecommunication Services,Telefônica Brasil S.A.,1688694025.0,35.81092374104573,36.400001525878906
41,2017,158418.098599983,VIVT3,14485.971,5730.773,43206.832,Diversified Telecommunication Services,Telefônica Brasil S.A.,1688693759.0,38.86681104645016,41.20000076293945
42,2018,101785.00469995881,VIVT3,14349.371,6108.923,43462.74,Diversified Telecommunication Services,Telefônica Brasil S.A.,1688693776.0,40.923918494399715,41.290000915527344
43,2019,212015.0181999429,VIVT3,14949.585,6611.855,44268.171,Diversified Telecommunication Services,Telefônica Brasil S.A.,1688693776.0,43.736680142792615,49.040000915527344
44,2013,10072358.20508966,GGBR4,4631.329,1354.046,39863.037,Metals and Mining,Gerdau S.A.,1700868701.0,16.013157856126547,18.34000015258789
45,2014,9290626.68145174,GGBR4,4663.893,1040.83,42546.339,Metals and Mining,Gerdau S.A.,1704469010.0,13.312620985892512,9.579999923706055
46,2015,7233912.49581014,GGBR4,4292.642,-1098.168,43581.241,Metals and Mining,Gerdau S.A.,1686458510.0,7.70447152029208,4.650000095367432
47,2016,6745011.03210246,GGBR4,3738.589,394.519,37651.667,Metals and Mining,Gerdau S.A.,1707500678.0,7.676626507058201,10.800000190734863
48,2017,7264100.547554551,GGBR4,3984.848,493.683,36917.619,Metals and Mining,Gerdau S.A.,1709230779.0,11.186456680297852,12.380000114440918
49,2018,7386003.69023454,GGBR4,6176.022,2795.863,46159.478,Metals and Mining,Gerdau S.A.,1702135609.0,15.695102037702288,14.819999694824219
50,2019,11947505.00339999,GGBR4,4903.23,1674.72,39644.01,Metals and Mining,Gerdau S.A.,1697492009.0,14.701821852309502,20.0
51,2020,11280922.0,GGBR4,7501.52,4144.395,43814.661,Metals and Mining,Gerdau S.A.,1701161432.0,17.88429150986768,24.450000762939453
52,2013,640805.550494322,UGPA3,2850.218,1761.155,60940.246,"Oil, Gas and Consumable Fuels",Ultrapar Participações S.A.,1072824880.0,26.700483875889933,27.975000381469727
53,2014,667744.7449424451,UGPA3,3100.666,1787.723,67736.298,"Oil, Gas and Consumable Fuels",Ultrapar Participações S.A.,1097333880.0,26.6858871060033,25.604999542236328
54,2015,691993.625076147,UGPA3,3954.963,2282.44,75655.274,"Oil, Gas and Consumable Fuels",Ultrapar Participações S.A.,1089019480.0,32.12150400053195,30.225000381469727
55,2016,614422.059729098,UGPA3,4089.559,2200.301,77352.955,"Oil, Gas and Consumable Fuels",Ultrapar Participações S.A.,1086167480.0,34.336726858912705,34.224998474121094
56,2017,597488.8860437159,UGPA3,3892.926,2287.878,79230.014,"Oil, Gas and Consumable Fuels",Ultrapar Participações S.A.,1086747480.0,36.430177117895894,37.5
57,2018,530582.7231500209,UGPA3,3108.984,1876.2,90697.983,"Oil, Gas and Consumable Fuels",Ultrapar Participações S.A.,1086187482.0,27.173938774575994,26.600000381469727
58,2019,497876.0176566054,UGPA3,2937.983,1329.175,89297.975,"Oil, Gas and Consumable Fuels",Ultrapar Participações S.A.,1086029894.0,21.79975707714374,25.479999542236328
59,2013,73386754.30739996,PETR4,65410.0,28025.0,273589.0,"Oil, Gas and Consumable Fuels",Petróleo Brasileiro S.A. - Petrobras,13044496930.0,18.24677421969752,17.079999923706055
60,2014,81023314.23700026,PETR4,69377.0,21745.0,305671.0,"Oil, Gas and Consumable Fuels",Petróleo Brasileiro S.A. - Petrobras,13044496930.0,16.67915323472792,10.029999732971191
61,2015,77788500.89227678,PETR4,90408.0,-1961.0,301826.0,"Oil, Gas and Consumable Fuels",Petróleo Brasileiro S.A. - Petrobras,13044496930.0,9.798008114341798,6.699999809265137
62,2016,66517145.75887923,PETR4,105326.0,21578.0,282589.0,"Oil, Gas and Consumable Fuels",Petróleo Brasileiro S.A. - Petrobras,13044496930.0,10.772610432651627,14.869999885559082
63,2017,67060297.72810595,PETR4,92814.0,21118.0,258454.0,"Oil, Gas and Consumable Fuels",Petróleo Brasileiro S.A. - Petrobras,13044496930.0,14.605275608423188,16.100000381469727
64,2018,61810518.99332244,PETR4,119957.0,52471.0,310255.0,"Oil, Gas and Consumable Fuels",Petróleo Brasileiro S.A. - Petrobras,13044496930.0,21.00722449944944,22.68000030517578
65,2019,59073095.675000004,PETR4,118655.0,50366.0,263827.0,"Oil, Gas and Consumable Fuels",Petróleo Brasileiro S.A. - Petrobras,13044201261.0,27.24898788513925,30.18000030517578
66,2013,765778.210536518,CMIG4,4125.224,3850.657,14627.28,Electric Utilities,Companhia Energética de Minas Gerais,1258304993.0,12.862857676321461,11.699322700500488
67,2014,1476000.401852936,CMIG4,5890.806,4298.378,19539.578,Electric Utilities,Companhia Energética de Minas Gerais,1258280936.0,12.972938241497163,10.972811698913574
68,2015,974291.770500871,CMIG4,4316.34,2662.52,21867.842,Electric Utilities,Companhia Energética de Minas Gerais,1310040637.0,8.76266168966526,5.1189751625061035
69,2016,568413.5627880485,CMIG4,3713.411,1242.681,18772.656,Electric Utilities,Companhia Energética de Minas Gerais,1460664340.0,6.2080869636382445,6.438385009765625
70,2017,713444.3426981228,CMIG4,3871.813,1838.641,21711.69,Electric Utilities,Companhia Energética de Minas Gerais,1460664340.0,7.109918633783896,5.918185234069824
71,2018,553939.4799499591,CMIG4,3633.667,2153.753,22266.217,Electric Utilities,Companhia Energética de Minas Gerais,1692729201.0,7.394997431307423,11.93974494934082
72,2019,650613.0838999469,CMIG4,3952.677,4680.066,25486.973,Electric Utilities,Companhia Energética de Minas Gerais,1692729201.0,12.085180386840573,11.879443168640137
73,2013,259452.2934349911,LIGT3,1726.107,877.013,7422.256,Electric Utilities,Light S.A.,203934060.0,19.056653215039162,22.1200008392334
74,2014,439320.1820499774,LIGT3,1705.408,1002.999,9200.832,Electric Utilities,Light S.A.,203934060.0,20.09149189918272,17.020000457763672
75,2015,409842.2872501001,LIGT3,1696.519,266.085,10912.673,Electric Utilities,Light S.A.,203934060.0,14.040813015728462,9.899999618530273
76,2016,269432.9080198371,LIGT3,1331.461,-297.389,9645.237,Electric Utilities,Light S.A.,203934060.0,12.237349435507532,17.360000610351562
77,2017,265549.4269237729,LIGT3,2009.18,414.386,11314.559,Electric Utilities,Light S.A.,203934060.0,20.188267786671798,16.690000534057617
78,2018,211628.7947000812,LIGT3,1780.784,499.662,11970.547,Electric Utilities,Light S.A.,203934060.0,14.516244907768405,16.5
79,2019,224674.5776749838,LIGT3,2224.954,2301.014,13389.567,Electric Utilities,Light S.A.,303934060.0,19.811740898410317,23.760000228881836
80,2013,624590.070400029,BRFS3,3000.757,1148.777,27787.477,Food Products,BRF S.A.,870314042.0,49.05931455858292,48.83000183105469
81,2014,702530.9328000289,BRFS3,4683.167,2487.621,29006.843,Food Products,BRF S.A.,867284349.0,53.41060490762034,63.439998626708984
82,2015,683607.044900018,BRFS3,5593.004,2912.259,32196.601,Food Products,BRF S.A.,793998685.0,64.67817052205403,55.400001525878906
83,2016,714646.388150003,BRFS3,3278.82,-317.5,33732.9,Food Products,BRF S.A.,798975726.0,50.802168681439625,48.25
84,2017,747984.177250034,BRFS3,2485.109,-861.567,28314.16,Food Products,BRF S.A.,811139545.0,41.644133800596705,36.599998474121094
